invoice_number,rule_triggered,risk_score,explanation,recommended_action,financial_value,risk_tier
INV0013135,Three-Way Match Failure,7,"Invoice INV0013135 amount ₹37,668 is 27.1% UNDER the PO value ₹51,671, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,37668.23,High
INV0013137,Three-Way Match Failure,7,"Invoice INV0013137 amount ₹71,641 is 26.1% OVER the PO value ₹56,811, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,71641.28,High
INV0013138,Three-Way Match Failure,7,"Invoice INV0013138 amount ₹120,240 is 29.6% OVER the PO value ₹92,794, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,120240.13,High
INV0013142,Three-Way Match Failure,7,"Invoice INV0013142 amount ₹1,181,091 is 32.9% OVER the PO value ₹888,587, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,1181090.89,High
INV0013143,Three-Way Match Failure,7,"Invoice INV0013143 amount ₹2,926,332 is 26.7% UNDER the PO value ₹3,991,327, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,2926331.87,High
INV0013144,Three-Way Match Failure,7,"Invoice INV0013144 amount ₹1,718,212 is 28.0% OVER the PO value ₹1,341,860, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,1718211.78,High
INV0013146,Three-Way Match Failure,7,"Invoice INV0013146 amount ₹126,413 is 24.7% OVER the PO value ₹101,399, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,126413.49,High
INV0013147,Three-Way Match Failure,7,"Invoice INV0013147 amount ₹230,763 is 24.8% UNDER the PO value ₹306,716, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,230762.7,High
INV0013149,Three-Way Match Failure,7,"Invoice INV0013149 amount ₹596,757 is 25.4% UNDER the PO value ₹800,000, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,596756.99,High
INV0013150,Three-Way Match Failure,7,"Invoice INV0013150 amount ₹425,924 is 28.2% UNDER the PO value ₹592,862, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,425924.49,High
INV0013151,Three-Way Match Failure,7,"Invoice INV0013151 amount ₹82,665 is 33.5% UNDER the PO value ₹124,373, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,82664.59,High
INV0013154,Three-Way Match Failure,7,"Invoice INV0013154 amount ₹60,497 is 26.5% OVER the PO value ₹47,806, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,60496.98,High
INV0013155,Three-Way Match Failure,7,"Invoice INV0013155 amount ₹53,139 is 25.2% UNDER the PO value ₹71,016, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,53138.64,High
INV0013156,Three-Way Match Failure,7,"Invoice INV0013156 amount ₹2,393,718 is 25.8% UNDER the PO value ₹3,224,770, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,2393718.27,High
INV0013157,Three-Way Match Failure,7,"Invoice INV0013157 amount ₹308,320 is 27.0% UNDER the PO value ₹422,208, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,308319.82,High
INV0013158,Three-Way Match Failure,7,"Invoice INV0013158 amount ₹119,730 is 20.2% UNDER the PO value ₹150,000, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,119730.21,High
INV0013097,Three-Way Match Failure,7,"Invoice INV0013097 amount ₹147,553 is 25.2% UNDER the PO value ₹197,247, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,147553.2,High
INV0013098,Three-Way Match Failure,7,"Invoice INV0013098 amount ₹253,831 is 26.9% UNDER the PO value ₹347,444, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,253831.02,High
INV0013099,Three-Way Match Failure,7,"Invoice INV0013099 amount ₹101,801 is 24.8% UNDER the PO value ₹135,386, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,101800.53,High
INV0013101,Three-Way Match Failure,7,"Invoice INV0013101 amount ₹254,559 is 25.2% UNDER the PO value ₹340,476, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,254559.19,High
INV0013104,Three-Way Match Failure,7,"Invoice INV0013104 amount ₹107,037 is 33.7% OVER the PO value ₹80,047, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,107037.14,High
INV0013106,Three-Way Match Failure,7,"Invoice INV0013106 amount ₹198,988 is 32.7% OVER the PO value ₹150,000, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,198988.39,High
INV0013110,Three-Way Match Failure,7,"Invoice INV0013110 amount ₹737,671 is 26.2% UNDER the PO value ₹1,000,000, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,737670.59,High
INV0013113,Three-Way Match Failure,7,"Invoice INV0013113 amount ₹1,361,313 is 24.4% UNDER the PO value ₹1,800,619, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,1361313.27,High
INV0013115,Three-Way Match Failure,7,"Invoice INV0013115 amount ₹298,616 is 32.7% OVER the PO value ₹225,074, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,298615.79,High
INV0013123,Three-Way Match Failure,7,"Invoice INV0013123 amount ₹336,352 is 25.0% OVER the PO value ₹268,996, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,336352.35,High
INV0013124,Three-Way Match Failure,7,"Invoice INV0013124 amount ₹91,310 is 25.5% OVER the PO value ₹72,760, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,91309.77,High
INV0013125,Three-Way Match Failure,7,"Invoice INV0013125 amount ₹1,020,564 is 23.0% OVER the PO value ₹829,529, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,1020564.5,High
INV0013127,Three-Way Match Failure,7,"Invoice INV0013127 amount ₹380,855 is 33.1% UNDER the PO value ₹569,680, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,380854.75,High
INV0013129,Three-Way Match Failure,7,"Invoice INV0013129 amount ₹382,485 is 27.5% OVER the PO value ₹300,000, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,382484.52,High
INV0013131,Three-Way Match Failure,7,"Invoice INV0013131 amount ₹39,254 is 22.9% UNDER the PO value ₹50,894, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,39254.24,High
INV0013132,Three-Way Match Failure,7,"Invoice INV0013132 amount ₹49,480 is 32.9% UNDER the PO value ₹73,698, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,49480.47,High
PO015485,Split Purchase Order,7,"PO PO015485 to vendor VEND0299 for ₹80,000 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹120,013.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,80000.0,High
PO013284,Split Purchase Order,7,"PO PO013284 to vendor VEND0300 for ₹48,224 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹157,562.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,48224.05,High
PO014301,Split Purchase Order,7,"PO PO014301 to vendor VEND0300 for ₹61,410 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹157,562.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,61410.35,High
PO004429,Split Purchase Order,7,"PO PO004429 to vendor VEND0300 for ₹47,928 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹157,562.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,47927.8,High
INV0013073,Three-Way Match Failure,7,"Invoice INV0013073 amount ₹179,452 is 20.0% UNDER the PO value ₹224,322, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,179452.02,High
INV0013079,Three-Way Match Failure,7,"Invoice INV0013079 amount ₹246,551 is 23.0% UNDER the PO value ₹320,243, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,246551.03,High
INV0013081,Three-Way Match Failure,7,"Invoice INV0013081 amount ₹1,342,292 is 34.2% OVER the PO value ₹1,000,000, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,1342291.96,High
INV0013083,Three-Way Match Failure,7,"Invoice INV0013083 amount ₹98,744 is 22.8% OVER the PO value ₹80,390, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,98743.61,High
INV0013084,Three-Way Match Failure,7,"Invoice INV0013084 amount ₹2,024,915 is 24.5% OVER the PO value ₹1,626,731, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,2024915.12,High
INV0013085,Three-Way Match Failure,7,"Invoice INV0013085 amount ₹416,813 is 25.4% OVER the PO value ₹332,487, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,416812.64,High
INV0013086,Three-Way Match Failure,7,"Invoice INV0013086 amount ₹37,948 is 32.5% UNDER the PO value ₹56,240, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,37948.21,High
INV0013087,Three-Way Match Failure,7,"Invoice INV0013087 amount ₹34,521 is 25.2% UNDER the PO value ₹46,121, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,34521.27,High
INV0013090,Three-Way Match Failure,7,"Invoice INV0013090 amount ₹336,199 is 32.8% UNDER the PO value ₹500,000, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,336198.76,High
INV0013091,Three-Way Match Failure,7,"Invoice INV0013091 amount ₹227,703 is 32.7% UNDER the PO value ₹338,515, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,227703.09,High
INV0013093,Three-Way Match Failure,7,"Invoice INV0013093 amount ₹459,296 is 20.1% UNDER the PO value ₹575,154, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,459295.52,High
INV0013094,Three-Way Match Failure,7,"Invoice INV0013094 amount ₹1,231,463 is 25.1% UNDER the PO value ₹1,643,307, exceeding the 5% tolerance. This indicates possible price manipulation or goods shortfall.",Block payment pending investigation. Verify against original PO and goods receipt. Obtain written vendor explanation for discrepancy.,1231463.38,High
PO020098,Split Purchase Order,7,"PO PO020098 to vendor VEND0293 for ₹89,599 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹320,920.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,89599.27,High
PO020096,Split Purchase Order,7,"PO PO020096 to vendor VEND0293 for ₹89,321 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹320,920.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,89320.9,High
PO004730,Split Purchase Order,7,"PO PO004730 to vendor VEND0293 for ₹19,043 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹320,920.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,19043.49,High
PO006959,Split Purchase Order,7,"PO PO006959 to vendor VEND0293 for ₹29,174 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹320,920.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,29173.79,High
PO008311,Split Purchase Order,7,"PO PO008311 to vendor VEND0294 for ₹36,074 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹199,944.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,36073.59,High
PO000479,Split Purchase Order,7,"PO PO000479 to vendor VEND0294 for ₹36,310 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹199,944.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,36309.81,High
PO008997,Split Purchase Order,7,"PO PO008997 to vendor VEND0294 for ₹41,979 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹199,944.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,41978.89,High
PO003613,Split Purchase Order,7,"PO PO003613 to vendor VEND0294 for ₹68,246 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹199,944.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,68245.81,High
PO009840,Split Purchase Order,7,"PO PO009840 to vendor VEND0294 for ₹17,336 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹199,944.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,17335.63,High
PO020101,Split Purchase Order,7,"PO PO020101 to vendor VEND0297 for ₹96,179 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹280,097.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,96179.47,High
PO020099,Split Purchase Order,7,"PO PO020099 to vendor VEND0297 for ₹90,561 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹280,097.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,90560.99,High
PO020100,Split Purchase Order,7,"PO PO020100 to vendor VEND0297 for ₹93,357 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹280,097.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,93356.7,High
PO020139,Split Purchase Order,7,"PO PO020139 to vendor VEND0298 for ₹87,780 is part of a group of 2 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹176,450.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,87779.8,High
PO020140,Split Purchase Order,7,"PO PO020140 to vendor VEND0298 for ₹88,671 is part of a group of 2 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹176,450.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,88670.51,High
PO011785,Split Purchase Order,7,"PO PO011785 to vendor VEND0299 for ₹22,904 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹120,013.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,22904.19,High
PO017940,Split Purchase Order,7,"PO PO017940 to vendor VEND0299 for ₹17,108 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹120,013.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,17108.47,High
PO017068,Split Purchase Order,7,"PO PO017068 to vendor VEND0283 for ₹64,564 is part of a group of 2 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹113,312.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,64563.8,High
PO009319,Split Purchase Order,7,"PO PO009319 to vendor VEND0283 for ₹48,748 is part of a group of 2 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹113,312.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,48748.14,High
PO020044,Split Purchase Order,7,"PO PO020044 to vendor VEND0284 for ₹85,584 is part of a group of 2 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹178,379.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,85583.79,High
PO020043,Split Purchase Order,7,"PO PO020043 to vendor VEND0284 for ₹92,796 is part of a group of 2 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹178,379.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,92795.66,High
PO018055,Split Purchase Order,7,"PO PO018055 to vendor VEND0287 for ₹59,931 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹202,739.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,59931.42,High
PO001000,Split Purchase Order,7,"PO PO001000 to vendor VEND0287 for ₹24,322 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹202,739.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,24322.13,High
PO006382,Split Purchase Order,7,"PO PO006382 to vendor VEND0287 for ₹84,016 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹202,739.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,84015.89,High
PO015954,Split Purchase Order,7,"PO PO015954 to vendor VEND0287 for ₹34,469 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹202,739.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,34469.27,High
PO007476,Split Purchase Order,7,"PO PO007476 to vendor VEND0288 for ₹78,740 is part of a group of 2 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹173,178.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,78739.6,High
PO014534,Split Purchase Order,7,"PO PO014534 to vendor VEND0288 for ₹94,439 is part of a group of 2 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹173,178.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,94438.78,High
PO006810,Split Purchase Order,7,"PO PO006810 to vendor VEND0290 for ₹75,957 is part of a group of 2 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹130,676.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,75957.16,High
PO002289,Split Purchase Order,7,"PO PO002289 to vendor VEND0290 for ₹54,719 is part of a group of 2 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹130,676.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,54719.01,High
PO015255,Split Purchase Order,7,"PO PO015255 to vendor VEND0291 for ₹94,548 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹272,461.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,94548.45,High
PO012537,Split Purchase Order,7,"PO PO012537 to vendor VEND0291 for ₹91,819 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹272,461.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,91819.19,High
PO001789,Split Purchase Order,7,"PO PO001789 to vendor VEND0291 for ₹86,093 is part of a group of 3 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹272,461.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,86093.08,High
PO020097,Split Purchase Order,7,"PO PO020097 to vendor VEND0293 for ₹93,782 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹320,920.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,93782.44,High
PO014362,Split Purchase Order,7,"PO PO014362 to vendor VEND0278 for ₹76,974 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹299,094.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,76974.46,High
PO017540,Split Purchase Order,7,"PO PO017540 to vendor VEND0278 for ₹59,095 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹299,094.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,59094.93,High
PO004001,Split Purchase Order,7,"PO PO004001 to vendor VEND0278 for ₹98,268 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹299,094.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,98267.81,High
PO002287,Split Purchase Order,7,"PO PO002287 to vendor VEND0280 for ₹75,803 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹363,243.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,75803.36,High
PO016624,Split Purchase Order,7,"PO PO016624 to vendor VEND0280 for ₹56,701 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹363,243.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,56700.67,High
PO003343,Split Purchase Order,7,"PO PO003343 to vendor VEND0280 for ₹93,626 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹363,243.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,93625.87,High
PO013794,Split Purchase Order,7,"PO PO013794 to vendor VEND0280 for ₹99,141 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹363,243.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,99140.72,High
PO018757,Split Purchase Order,7,"PO PO018757 to vendor VEND0280 for ₹37,972 is part of a group of 5 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹363,243.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,37972.17,High
PO002359,Split Purchase Order,7,"PO PO002359 to vendor VEND0281 for ₹26,227 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹236,376.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,26227.0,High
PO005707,Split Purchase Order,7,"PO PO005707 to vendor VEND0281 for ₹78,985 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹236,376.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,78984.71,High
PO017562,Split Purchase Order,7,"PO PO017562 to vendor VEND0281 for ₹57,041 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹236,376.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,57040.75,High
PO008972,Split Purchase Order,7,"PO PO008972 to vendor VEND0281 for ₹74,123 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹236,376.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,74123.4,High
PO014436,Split Purchase Order,7,"PO PO014436 to vendor VEND0282 for ₹47,562 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹187,865.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,47561.71,High
PO011626,Split Purchase Order,7,"PO PO011626 to vendor VEND0282 for ₹24,647 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹187,865.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,24647.14,High
PO002993,Split Purchase Order,7,"PO PO002993 to vendor VEND0282 for ₹77,032 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹187,865.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,77032.19,High
PO008673,Split Purchase Order,7,"PO PO008673 to vendor VEND0282 for ₹38,624 is part of a group of 4 POs within 30 days, each below the ₹100,000 approval threshold. Combined value: ₹187,865.",Refer to CFO for retrospective approval. Investigate whether this is a genuine business need or deliberate control circumvention. Review approver's other transactions.,38624.42,High
